home,away,ph,pd,pa
Russia,Saudi Arabia,0.6909720801451232,0.21486603834490406,0.09416188150997268
Egypt,Uruguay,0.1447490198058122,0.2573745940397463,0.5978763861544416
Morocco,Iran,0.3959935319505357,0.32508928467560877,0.27891718337385557
Portugal,Spain,0.22055963590919114,0.28118129022341326,0.4982590738673956
France,Australia,0.7856015358534713,0.15027836533433434,0.0641200988121944
Argentina,Iceland,0.7180626283943254,0.19962736971958425,0.08231000188609035
Peru,Denmark,0.2943428915302442,0.2907858777353167,0.41487123073443904
Croatia,Nigeria,0.5497814529391463,0.2679993154995838,0.18221923156127004
Costa Rica,Serbia,0.2331300756286105,0.2960608935897078,0.4708090307816817
Germany,Mexico,0.6512552160051456,0.22005884011132773,0.12868594388352678
Brazil,Switzerland,0.689219209041363,0.2048634591630378,0.10591733179559915
Sweden,South Korea,0.45138992908786024,0.2949265487598596,0.2536835221522803
Belgium,Panama,0.8255463875885121,0.12895717936963405,0.04549643304185393
Tunisia,England,0.09696873034549792,0.2059806863013575,0.6970505833531445
Colombia,Japan,0.5629895724192986,0.26448136506511005,0.1725290625155915
Poland,Senegal,0.40812253923736586,0.29912086726713766,0.2927565934954965
Russia,Egypt,0.5083558165896601,0.2754204424174527,0.2162237409928871
Portugal,Morocco,0.6060132164891435,0.24934918803459555,0.14463759547626084
Uruguay,Saudi Arabia,0.7866781616959013,0.15656563740114185,0.056756200902956806
Iran,Spain,0.05734472251451249,0.15167724544646807,0.7909780320390195
Denmark,Australia,0.5585287178406101,0.2602409012281862,0.18123038093120367
France,Peru,0.6698898955836347,0.20915776215820905,0.12095234225815625
Argentina,Croatia,0.49873350941328853,0.2759562933929435,0.225310197193768
Brazil,Costa Rica,0.7707352530998284,0.15742141607431132,0.07184333082586021
Nigeria,Iceland,0.35138286236282557,0.3084486219455028,0.34016851569167156
Serbia,Switzerland,0.3277139533772048,0.3057967781513408,0.36648926847145424
Belgium,Tunisia,0.7368491354186906,0.17838061006411501,0.08477025451719448
South Korea,Mexico,0.21275895003787504,0.28221848960906365,0.5050225603530613
Germany,Sweden,0.6566339198541166,0.21738900748004764,0.12597707266583577
England,Panama,0.7924127953705192,0.151711943417457,0.05587526121202379
Japan,Senegal,0.28621883576316914,0.29870190025128246,0.4150792639855484
Poland,Colombia,0.32340701744605105,0.2982195550281343,0.37837342752581465
Saudi Arabia,Egypt,0.1820843401118185,0.26852325437838404,0.5493924055097973
Uruguay,Russia,0.38357477120633754,0.30224720895689255,0.3141780198367699
Iran,Portugal,0.104198260802795,0.2026567869003513,0.6931449522968538
Spain,Morocco,0.6981539081274476,0.20221371123353135,0.09963238063902118
Australia,Peru,0.27839846778238864,0.2902093118701264,0.43139222034748503
Denmark,France,0.1701763163905718,0.25368458835942004,0.5761390952500082
Iceland,Croatia,0.20284829721362227,0.2721981424148607,0.5249535603715171
Nigeria,Argentina,0.13180051216861033,0.2181629482242979,0.6500365396070917
Mexico,Sweden,0.38085297463428264,0.30155866445805973,0.31758836090765763
South Korea,Germany,0.08312176433923232,0.17393719470623387,0.7429410409545338
Serbia,Brazil,0.10768403875045329,0.19861226234264104,0.6937036989069056
Switzerland,Costa Rica,0.5007647281282736,0.2838162108976269,0.21541906097409963
Japan,Poland,0.2214652882933397,0.27350011247687506,0.5050345992297852
Senegal,Colombia,0.2367893189560935,0.28727593050529066,0.4759347505386159
England,Belgium,0.3248334253781453,0.2885227403660867,0.38664383425576804
Panama,Tunisia,0.2771577624087437,0.2997474232947228,0.42309481429653356
